Year,Season,State,District,Crop,Crop_Category,Area_Sown_Current_ha,Area_Sown_Last_Year_ha,Area_Sown_3yr_Avg_ha,Area_Growth_Rate_percent,Production_Last_Year_tons,Production_2yr_Back_tons,Production_3yr_Avg_tons,Production_5yr_Avg_tons,Production_Growth_Rate_percent,Yield_Last_Year_kg_per_ha,Yield_3yr_Avg_kg_per_ha,Total_Rainfall_mm,Rainfall_Deviation_percent,Avg_Temperature_C,Max_Temperature_C,Min_Temperature_C,Avg_Humidity_percent,Extreme_Heat_Days,Extreme_Rain_Days,Drought_Index,Production_tons
2015,Kharif,Rajasthan,Bikaner,Sorghum,millets,41467.35,41617.21,42187.69,-0.36,102422.34,105189.77,105475.98,106766.9,11.81,2461.06,2564.31,888.43,7.39,33.07,42.21,24.75,43.36,13,4,1.601,95557.38
2015,Kharif,Rajasthan,Bikaner,Foxtail Millet,millets,24650.21,24511.72,24779.46,0.56,29536.64,31330.77,28881.69,31460.08,3.43,1205.0,1245.36,582.18,22.43,24.52,36.18,18.4,42.74,30,20,0.0,26917.51
2015,Kharif,Rajasthan,Bikaner,Kodo Millet,millets,25728.25,23546.25,24156.57,9.27,20867.95,20779.68,20063.26,22219.69,4.3,886.25,864.65,521.34,12.41,33.64,43.67,24.75,46.55,9,3,0.736,24757.64
2015,Rabi,Rajasthan,Bikaner,Barnyard Millet,millets,37235.47,34749.08,33944.28,7.16,53122.22,54203.72,51007.43,55632.14,12.01,1528.74,1544.09,372.63,38.87,31.83,39.26,24.68,54.82,16,20,0.024,60903.04
2015,Rabi,Rajasthan,Bikaner,Little Millet,millets,14379.17,12915.42,13266.75,11.33,18231.12,18835.83,18113.5,19021.97,14.31,1411.58,1379.12,784.92,7.67,28.83,36.88,20.18,50.74,27,7,1.492,18619.39
2015,Rabi,Rajasthan,Bikaner,Proso Millet,millets,23965.17,23289.76,23870.37,2.9,23683.08,21897.19,24514.25,23403.24,-0.76,1016.89,1047.17,504.2,31.62,31.01,37.95,25.96,77.92,2,7,1.16,24314.23
2015,Kharif,Rajasthan,Nagaur,Pearl Millet,millets,66032.09,61862.35,63602.61,6.74,122816.2,128572.5,117818.23,121853.27,8.84,1985.31,1946.84,648.93,3.13,29.31,37.29,20.58,53.23,22,14,0.0,124576.53
2015,Kharif,Rajasthan,Nagaur,Finger Millet,millets,59311.62,59096.32,61274.57,0.36,184173.21,189776.9,178492.23,192251.14,0.53,3116.49,3144.41,756.12,11.78,33.81,44.63,27.32,54.44,9,0,1.124,171039.39
2015,Kharif,Rajasthan,Nagaur,Sorghum,millets,8070.98,8413.68,8382.48,-4.07,28648.17,29280.13,29372.37,28082.62,-4.75,3404.95,3331.52,587.23,-6.15,33.65,40.42,24.35,44.56,2,12,0.475,27904.64
2015,Kharif,Rajasthan,Nagaur,Foxtail Millet,millets,55116.56,56483.83,58912.79,-2.42,109519.36,102250.44,106761.56,112345.76,3.32,1938.95,1957.59,671.05,24.3,27.8,39.16,21.32,63.54,13,9,0.706,97468.8
2015,Kharif,Rajasthan,Nagaur,Kodo Millet,millets,74456.86,77008.16,79984.24,-3.31,104008.61,100091.99,99652.6,103383.15,6.04,1350.62,1304.23,545.11,18.26,28.7,33.93,22.26,51.31,27,14,0.0,95201.24
2015,Rabi,Rajasthan,Nagaur,Barnyard Millet,millets,67692.63,64087.1,65978.09,5.63,116664.3,115266.92,117184.18,120719.95,13.17,1820.4,1879.86,342.85,-18.39,27.08,37.32,19.23,51.54,3,14,1.066,128150.36
2015,Rabi,Rajasthan,Nagaur,Little Millet,millets,43979.29,42535.41,41567.3,3.39,23132.75,22881.17,22721.73,23017.94,-3.17,543.85,568.97,801.58,10.26,33.51,45.5,25.15,50.78,1,5,0.412,24642.76
2015,Rabi,Rajasthan,Nagaur,Proso Millet,millets,19533.08,18611.69,19116.63,4.95,21234.04,19845.31,20911.2,21304.77,8.4,1140.9,1181.71,497.88,18.56,26.88,38.5,17.81,62.0,14,2,0.0,21497.58
2015,Kharif,Maharashtra,Pune,Pearl Millet,millets,79218.8,77763.85,79032.47,1.87,216260.56,221715.88,217181.69,218709.66,-1.25,2780.99,2742.55,753.87,13.78,31.6,38.02,23.85,77.11,14,15,0.0,241154.23
2015,Kharif,Maharashtra,Pune,Finger Millet,millets,58398.37,58233.71,56558.37,0.28,127740.55,122113.85,132101.68,125357.69,13.94,2193.58,2225.99,392.38,35.29,26.92,36.86,19.84,59.3,15,7,0.37,118997.34
2015,Kharif,Maharashtra,Pune,Sorghum,millets,20297.12,19295.78,20012.93,5.19,39210.26,36511.4,40279.43,41384.12,1.8,2032.06,2090.53,460.3,-29.82,31.26,42.12,23.36,66.4,27,4,0.34,41115.88
2015,Kharif,Maharashtra,Pune,Foxtail Millet,millets,32318.31,29933.0,30051.2,7.97,57454.07,60851.69,60216.32,57102.49,2.66,1919.42,1987.76,546.47,-7.73,28.73,40.12,21.82,79.54,25,20,1.942,61974.54
2015,Kharif,Maharashtra,Pune,Kodo Millet,millets,8051.68,7776.47,7956.23,3.54,12781.72,13546.97,12705.42,13070.53,4.14,1643.64,1680.2,545.99,15.83,25.54,33.83,15.7,53.54,22,12,0.95,14165.12
2015,Rabi,Maharashtra,Pune,Barnyard Millet,millets,80890.41,76560.47,80378.5,5.66,98421.31,99067.21,99577.37,97779.32,8.69,1285.54,1258.2,436.49,-23.67,33.78,44.11,25.26,44.02,5,9,1.71,94545.35
2015,Kharif,Maharashtra,Pune,Little Millet,millets,27373.14,27002.58,26546.27,1.37,29278.44,29587.28,30134.89,28897.77,-3.42,1084.28,1124.49,671.83,-13.14,33.13,39.13,25.82,50.16,8,0,1.697,29473.97
2015,Rabi,Maharashtra,Pune,Proso Millet,millets,54528.89,55820.82,56365.39,-2.31,54711.22,55477.81,55471.37,55391.33,0.0,980.12,1013.97,419.53,-3.07,28.83,35.49,20.97,62.99,22,9,0.0,56972.75
2015,Kharif,Maharashtra,Nashik,Pearl Millet,millets,32998.91,34685.43,36345.34,-4.86,84816.23,91243.31,88298.93,88592.02,11.66,2445.3,2543.83,765.44,-13.89,32.02,38.55,26.07,50.03,24,4,0.885,87202.49
2015,Kharif,Maharashtra,Nashik,Finger Millet,millets,28872.52,28169.97,28794.26,2.49,77326.88,72255.89,75742.54,80787.11,-1.49,2745.01,2644.04,623.64,38.0,29.31,40.7,20.16,50.28,26,15,1.902,76008.18
2015,Kharif,Maharashtra,Nashik,Sorghum,millets,76374.4,70279.77,71133.66,8.67,135500.03,141010.03,131782.11,140599.21,8.49,1928.01,1908.23,807.45,9.01,24.9,32.67,18.58,44.94,11,8,0.754,156745.75
2015,Kharif,Maharashtra,Nashik,Foxtail Millet,millets,73136.82,75521.89,74845.52,-3.16,62685.4,66539.15,63070.34,66542.16,-0.57,830.03,793.78,794.31,33.66,27.02,34.88,21.32,77.85,9,15,0.0,57485.89
2015,Kharif,Maharashtra,Nashik,Kodo Millet,millets,46044.21,45316.0,45469.66,1.61,78816.16,81293.94,79132.94,81080.86,9.53,1739.26,1806.29,692.95,28.36,30.16,41.73,23.76,67.61,6,14,0.334,75856.15
2015,Rabi,Maharashtra,Nashik,Barnyard Millet,millets,13280.45,12451.6,12688.2,6.66,23326.96,22799.49,23089.35,23069.92,-2.56,1873.41,1938.61,572.83,16.39,30.42,39.6,25.31,71.47,7,4,1.361,23412.85
2015,Kharif,Maharashtra,Nashik,Little Millet,millets,53299.59,48978.73,48536.45,8.82,66209.72,69267.48,66845.21,66059.25,14.68,1351.81,1417.71,624.13,25.9,25.1,36.16,19.44,54.33,25,7,0.767,65073.01
2015,Rabi,Maharashtra,Nashik,Proso Millet,millets,9609.42,8929.93,9084.84,7.61,12682.57,12634.36,13035.16,12953.01,-2.82,1420.23,1420.78,867.25,-26.96,31.83,42.9,24.23,58.32,30,0,0.0,13590.24
2015,Kharif,Maharashtra,Aurangabad,Pearl Millet,millets,37461.66,35121.29,35617.35,6.66,93265.35,86900.78,89355.57,96140.69,-3.69,2655.52,2595.78,679.85,8.38,27.25,39.21,19.6,58.15,19,13,0.0,103494.84
2015,Kharif,Maharashtra,Aurangabad,Finger Millet,millets,41017.11,37255.25,37525.09,10.1,108286.57,106531.98,110772.96,108422.45,1.25,2906.61,2835.37,872.16,18.08,28.74,34.38,23.32,57.28,23,11,1.435,120564.97
2015,Kharif,Maharashtra,Aurangabad,Sorghum,millets,51212.21,48984.88,48968.63,4.55,98351.51,96047.69,99977.66,102780.12,12.36,2007.79,2052.18,881.04,12.03,27.52,36.56,21.45,66.27,7,3,0.05,103980.61
2015,Kharif,Maharashtra,Aurangabad,Foxtail Millet,millets,13580.4,13616.4,13485.06,-0.26,17904.68,18079.33,18383.51,18480.71,8.5,1314.93,1322.4,665.4,16.05,30.93,36.14,24.57,70.5,29,10,0.053,16719.5
2015,Kharif,Maharashtra,Aurangabad,Kodo Millet,millets,16716.02,15743.86,15370.14,6.17,23445.17,25215.04,22488.04,23985.55,2.52,1489.16,1482.26,394.45,-8.19,27.24,38.83,19.26,75.33,4,5,1.263,22651.34
2015,Kharif,Maharashtra,Aurangabad,Barnyard Millet,millets,26996.45,25407.71,25756.04,6.25,31263.0,30128.36,32060.03,30680.94,3.6,1230.45,1203.78,707.09,4.06,30.67,35.99,23.7,63.97,0,6,0.0,31299.42
2015,Kharif,Maharashtra,Aurangabad,Little Millet,millets,62262.59,62312.07,61115.59,-0.08,65248.45,64524.51,62828.95,66766.02,-0.4,1047.12,1053.27,700.83,-5.21,27.97,38.17,20.79,58.39,2,10,0.727,66153.73
2015,Rabi,Maharashtra,Aurangabad,Proso Millet,millets,27217.34,26713.64,28235.2,1.89,21078.68,22588.3,20994.57,21899.92,2.24,789.06,784.07,363.52,0.5,28.0,33.56,18.65,69.83,7,10,1.337,19656.58
2015,Kharif,Maharashtra,Solapur,Pearl Millet,millets,54602.17,52491.85,51833.15,4.02,128183.27,125129.43,134056.93,132611.27,-2.05,2441.97,2344.97,453.58,-17.86,25.53,35.84,20.15,78.05,20,15,0.392,135036.25
2015,Rabi,Maharashtra,Solapur,Finger Millet,millets,61690.61,56085.01,57648.06,9.99,178187.93,173147.58,186580.1,178475.51,3.8,3177.1,3167.23,678.83,25.74,29.91,37.38,24.54,58.47,1,1,0.106,187651.02
2015,Kharif,Maharashtra,Solapur,Sorghum,millets,59546.73,53349.99,52183.04,11.62,149910.03,147139.27,151114.25,159717.61,9.78,2809.94,2680.97,845.43,10.02,25.88,35.12,18.38,78.31,14,3,1.433,178612.63
2015,Kharif,Maharashtra,Solapur,Foxtail Millet,millets,75872.91,78678.92,80893.84,-3.57,66638.73,68852.43,69910.6,68131.89,7.2,846.97,835.44,850.76,-2.88,31.74,41.5,26.48,65.24,10,2,0.0,65007.09
2015,Kharif,Maharashtra,Solapur,Kodo Millet,millets,33748.91,33992.32,35577.75,-0.72,59734.43,60715.99,57645.95,58429.24,8.27,1757.29,1830.53,486.14,15.92,30.62,36.52,22.08,43.39,17,12,0.93,57272.19
2015,Kharif,Maharashtra,Solapur,Barnyard Millet,millets,60283.02,55258.73,57275.11,9.09,84131.27,84486.55,85359.79,85169.5,2.24,1522.5,1501.58,408.16,-15.01,33.48,41.88,27.34,45.5,2,9,1.533,84459.22
2015,Kharif,Maharashtra,Solapur,Little Millet,millets,60053.79,54644.69,56044.84,9.9,63222.33,59724.9,61204.56,65705.99,7.49,1156.97,1203.56,732.71,-26.94,27.64,37.68,17.8,64.42,24,14,0.0,65855.96
2015,Rabi,Maharashtra,Solapur,Proso Millet,millets,71559.25,72798.08,75058.28,-1.7,89356.82,88507.54,91764.44,93629.19,5.06,1227.46,1217.48,397.23,-16.02,30.05,41.16,24.79,59.22,11,17,1.803,91549.95
2015,Kharif,Maharashtra,Ahmednagar,Pearl Millet,millets,42434.63,43693.2,42712.24,-2.88,63639.14,63123.1,63724.12,67018.68,-3.17,1456.5,1516.29,790.02,31.92,33.3,41.21,26.32,54.96,12,2,0.125,55973.86
2015,Kharif,Maharashtra,Ahmednagar,Finger Millet,millets,72048.03,67938.22,70738.92,6.05,117799.39,113782.52,121683.96,122465.1,-2.22,1733.92,1769.56,569.16,-29.63,24.79,31.58,15.62,61.95,23,19,0.583,115210.94
2015,Kharif,Maharashtra,Ahmednagar,Sorghum,millets,26639.43,26607.62,25923.73,0.12,66883.66,70028.79,66596.82,65618.61,13.1,2513.7,2538.02,309.86,6.08,26.42,32.42,19.27,64.59,7,18,0.25,69165.01
2015,Kharif,Maharashtra,Ahmednagar,Foxtail Millet,millets,12742.36,11421.05,11147.98,11.57,16346.62,16365.78,17144.87,16762.07,2.81,1431.27,1427.0,681.4,38.67,26.54,31.65,17.59,53.79,23,20,0.0,18536.52
2015,Kharif,Maharashtra,Ahmednagar,Kodo Millet,millets,60063.86,61750.92,61856.32,-2.73,62137.28,63556.95,64190.19,64527.59,14.62,1006.26,1004.1,409.37,-20.56,31.16,42.77,25.98,48.06,25,6,1.657,58210.6
2015,Rabi,Maharashtra,Ahmednagar,Barnyard Millet,millets,48811.5,43653.77,44477.64,11.82,43827.36,45603.53,42473.55,44077.06,10.62,1003.98,1040.7,499.15,-21.29,27.68,38.91,18.96,75.79,12,10,1.921,48968.39
2015,Rabi,Maharashtra,Ahmednagar,Little Millet,millets,35335.42,32551.02,32355.87,8.55,19233.51,19001.17,19100.04,20570.42,-1.39,590.87,578.69,361.56,-7.05,26.96,35.08,18.37,46.67,14,11,0.341,21825.85
2015,Rabi,Maharashtra,Ahmednagar,Proso Millet,millets,52337.52,51113.86,52522.16,2.39,75169.35,69845.66,76456.13,75967.73,5.26,1470.63,1507.38,395.99,-27.82,32.49,42.23,25.3,45.05,7,20,0.099,75165.59
2015,Kharif,Karnataka,Bidar,Pearl Millet,millets,50056.78,47543.35,49022.69,5.29,129228.41,126582.09,132628.21,132768.26,5.59,2718.12,2690.4,689.74,-12.53,25.13,35.28,17.64,55.48,17,3,0.0,129537.21
2015,Rabi,Karnataka,Bidar,Finger Millet,millets,22232.2,21092.78,21777.42,5.4,67447.74,64212.17,64990.81,65923.77,-1.55,3197.67,3265.9,898.36,26.74,33.68,45.58,25.34,68.38,17,17,0.0,68246.94
2015,Kharif,Karnataka,Bidar,Sorghum,millets,18000.32,16812.89,17368.05,7.06,35239.06,34458.12,34267.32,37653.41,10.84,2095.95,2040.78,596.41,-4.74,29.72,37.99,19.81,45.19,28,2,0.0,36959.41
2015,Kharif,Karnataka,Bidar,Foxtail Millet,millets,60613.82,58770.02,59179.74,3.14,75890.92,76800.4,73047.49,76020.14,-3.52,1291.32,1286.91,610.42,-21.02,32.29,41.15,24.35,70.71,4,13,0.509,84035.97
2015,Kharif,Karnataka,Bidar,Kodo Millet,millets,69918.98,67354.31,67177.25,3.81,53503.59,57225.2,52034.76,56967.86,5.38,794.36,777.21,347.32,-16.26,33.56,40.48,25.44,64.58,2,16,0.923,56560.69
2015,Kharif,Karnataka,Bidar,Barnyard Millet,millets,18841.97,17840.05,18753.1,5.62,19715.81,21053.11,18811.24,20827.35,-3.38,1105.14,1154.71,762.61,-11.47,26.11,35.11,18.02,41.21,28,20,0.637,21414.07
2015,Rabi,Karnataka,Bidar,Little Millet,millets,44798.71,41220.86,42525.47,8.68,34096.96,31767.31,32596.4,34572.97,4.69,827.18,802.69,664.0,-8.12,31.18,41.32,21.88,79.01,4,11,0.545,34137.79
2015,Kharif,Karnataka,Bidar,Proso Millet,millets,39804.32,39985.44,39678.06,-0.45,28249.43,27301.21,27922.16,29140.35,-0.03,706.49,732.3,395.82,-7.08,29.78,36.97,20.96,59.93,16,14,0.496,27044.64
2015,Kharif,Karnataka,Kalaburagi,Pearl Millet,millets,7484.07,6738.22,6842.6,11.07,18507.87,17664.33,18235.61,18046.17,4.9,2746.7,2851.72,692.56,2.94,29.37,40.3,22.21,75.3,23,11,1.292,20005.32
2015,Rabi,Karnataka,Kalaburagi,Finger Millet,millets,9238.98,8836.83,8860.04,4.55,17590.79,17270.91,17503.46,18030.31,11.51,1990.62,2015.16,666.63,-20.99,24.97,32.58,15.03,62.31,11,4,0.0,18424.88
2015,Kharif,Karnataka,Kalaburagi,Sorghum,millets,40707.91,42505.84,41754.9,-4.23,100576.02,100153.5,100143.42,103656.26,5.31,2366.17,2325.46,667.84,-18.62,33.91,44.08,27.41,53.45,26,16,0.597,100343.05
2015,Kharif,Karnataka,Kalaburagi,Foxtail Millet,millets,29921.53,27484.29,27570.93,8.87,44210.34,47604.98,44580.39,46406.51,9.51,1608.57,1638.82,315.99,3.22,33.67,44.15,24.79,63.11,23,1,0.751,44959.09
2015,Kharif,Karnataka,Kalaburagi,Kodo Millet,millets,55065.15,52176.89,54561.64,5.54,40558.71,41731.52,38658.82,43187.75,-2.8,777.33,739.94,488.22,-19.4,30.91,38.78,22.03,76.82,27,1,1.117,42963.78
2015,Rabi,Karnataka,Kalaburagi,Barnyard Millet,millets,82360.65,79859.22,80171.8,3.13,147581.63,146629.17,148070.53,151216.17,8.52,1848.02,1915.97,708.45,26.26,26.64,35.03,16.86,51.16,9,7,1.824,166884.77
2015,Rabi,Karnataka,Kalaburagi,Little Millet,millets,61764.42,57867.57,58678.31,6.73,59475.35,60050.95,62059.47,61983.21,0.76,1027.78,1035.34,625.91,32.7,27.95,35.36,19.08,45.86,1,9,1.866,58135.78
2015,Rabi,Karnataka,Kalaburagi,Proso Millet,millets,58373.72,54197.9,53615.75,7.7,81879.31,78880.99,82387.11,81646.95,-2.82,1510.75,1547.14,443.57,-26.45,33.05,39.63,26.89,44.01,10,15,0.0,92963.57
2015,Kharif,Karnataka,Raichur,Pearl Millet,millets,5623.34,5388.61,5677.54,4.36,9974.59,10668.88,10352.03,10151.59,-1.01,1851.05,1936.92,492.7,15.21,33.08,38.71,25.21,61.41,23,1,1.74,9732.63
2015,Kharif,Karnataka,Raichur,Finger Millet,millets,71755.59,75044.2,78440.57,-4.38,213090.48,202395.44,218396.5,225285.45,0.79,2839.53,2708.2,479.04,12.19,33.28,40.63,26.01,65.65,16,15,1.668,188845.85
2015,Kharif,Karnataka,Raichur,Sorghum,millets,42661.06,42815.95,44648.18,-0.36,101138.25,104878.25,102637.98,105371.88,-4.72,2362.16,2323.69,477.01,17.21,25.93,35.21,17.74,56.22,13,16,0.0,98773.71
2015,Kharif,Karnataka,Raichur,Foxtail Millet,millets,13574.51,12153.88,12311.53,11.69,23371.8,21527.6,23099.69,23714.75,0.34,1922.99,1890.23,649.48,10.1,26.62,34.13,20.43,66.71,14,9,0.0,27075.09
2015,Kharif,Karnataka,Raichur,Kodo Millet,millets,81725.0,74232.95,77149.24,10.09,106030.52,108383.74,110702.6,106746.69,-0.58,1428.35,1493.68,586.91,1.85,33.89,41.5,25.38,76.51,24,17,1.406,124333.44
2015,Kharif,Karnataka,Raichur,Barnyard Millet,millets,58899.11,56025.64,58315.04,5.13,74548.17,74884.21,73517.8,79149.62,-2.76,1330.61,1374.35,841.73,-15.85,29.37,35.52,20.09,57.67,21,6,1.151,78196.52
2015,Rabi,Karnataka,Raichur,Little Millet,millets,67429.99,65651.91,66714.96,2.71,65814.61,61157.43,65567.01,69150.86,9.47,1002.48,992.05,789.87,22.21,29.78,35.1,23.06,42.55,1,2,1.958,67219.52
2015,Rabi,Karnataka,Raichur,Proso Millet,millets,38544.09,35665.02,37053.26,8.07,59780.52,61175.85,59304.44,63922.45,2.65,1676.17,1738.12,844.06,-3.7,30.83,40.46,23.13,66.14,11,3,0.0,65087.74
2015,Kharif,Karnataka,Vijayapura,Pearl Millet,millets,47956.47,44663.19,44218.44,7.37,53844.03,49732.38,52758.34,55855.11,5.89,1205.56,1209.41,794.02,-12.67,27.46,34.39,17.77,69.0,3,1,1.428,56880.46
2015,Kharif,Karnataka,Vijayapura,Finger Millet,millets,22161.15,23049.97,23590.61,-3.86,52068.73,53501.86,54006.79,51780.97,-4.12,2258.95,2245.16,623.86,22.81,31.76,37.74,21.79,49.37,29,18,0.0,51041.3
2015,Kharif,Karnataka,Vijayapura,Sorghum,millets,55690.1,55439.89,55282.38,0.45,113293.79,116197.96,110133.38,113299.47,-3.78,2043.54,2135.2,827.83,33.81,30.26,38.25,22.78,78.89,30,20,1.014,120310.3
2015,Kharif,Karnataka,Vijayapura,Foxtail Millet,millets,29505.59,28905.08,28426.12,2.08,36182.0,37654.85,36086.19,38169.63,1.01,1251.75,1277.74,783.47,34.03,29.62,41.4,21.84,45.36,7,8,0.0,38017.37
2015,Kharif,Karnataka,Vijayapura,Kodo Millet,millets,81139.59,74166.96,72559.15,9.4,108988.47,103591.04,106464.97,113061.06,7.06,1469.5,1524.41,412.9,23.32,31.24,40.16,23.85,74.78,10,9,1.871,107676.95
