Year,District,Crop,Predicted_Production_tons,Predicted_Demand_tons,Supply_Demand_Gap_tons,Supply_Demand_Gap_percent,Production_to_Demand_Ratio,Production_Growth_percent,Demand_Growth_percent,Avg_Mandi_Price_Current,Price_Change_percent,Mandi_Arrival_Growth_percent,Buffer_Stock_Level_tons,Oversupply_Risk_Level
2015,Bikaner,Little Millet,154806.23,161282.72,-6476.5,-4.02,0.9598,6.64,13.69,2112.78,5.07,-1.65,20393.51,0
2015,Bikaner,Proso Millet,217922.56,196129.98,21792.57,11.11,1.1111,0.85,10.04,1717.63,-3.96,24.95,49808.73,1
2015,Nagaur,Pearl Millet,68315.18,58517.22,9797.96,16.74,1.1674,-0.57,13.67,4142.59,10.77,2.93,8729.59,2
2015,Nagaur,Finger Millet,258436.24,284737.28,-26301.05,-9.24,0.9076,9.13,14.74,3461.93,-19.73,18.6,15669.56,0
2015,Nagaur,Sorghum,215847.18,263218.08,-47370.9,-18.0,0.82,-4.24,-2.69,1821.11,-0.64,-0.47,30636.66,0
2015,Nagaur,Foxtail Millet,229403.05,195405.21,33997.84,17.4,1.174,9.76,0.28,2965.6,11.69,19.61,5522.62,2
2015,Nagaur,Kodo Millet,155893.94,138486.84,17407.1,12.57,1.1257,-7.9,10.42,3411.34,-10.83,15.94,28032.34,1
2015,Nagaur,Barnyard Millet,156921.73,118449.99,38471.74,32.48,1.3248,-5.89,12.66,4211.79,-0.9,19.21,29542.97,2
2015,Nagaur,Little Millet,87023.45,70812.96,16210.49,22.89,1.2289,0.63,12.98,3888.37,10.12,21.46,11293.75,2
2015,Nagaur,Proso Millet,112382.43,90062.92,22319.51,24.78,1.2478,13.84,12.68,2719.13,1.72,-4.59,46564.17,2
2015,Pune,Pearl Millet,266151.42,329522.88,-63371.46,-19.23,0.8077,14.7,12.63,1574.36,5.78,1.63,46609.98,0
2015,Pune,Finger Millet,250558.78,296168.5,-45609.72,-15.4,0.846,14.7,0.34,3862.12,-16.22,20.53,43071.07,0
2015,Pune,Sorghum,105608.43,122325.54,-16717.11,-13.67,0.8633,4.89,1.1,3886.04,-12.03,-9.17,10463.36,0
2015,Pune,Foxtail Millet,132065.49,156124.71,-24059.22,-15.41,0.8459,19.07,0.58,3424.45,-6.01,24.34,27274.57,0
2015,Pune,Kodo Millet,284809.29,230032.16,54777.12,23.81,1.2381,19.17,-1.43,4387.6,-10.71,-6.21,22293.62,2
2015,Pune,Barnyard Millet,232136.27,210510.14,21626.13,10.27,1.1027,8.97,5.23,2655.59,0.18,-1.08,35730.48,1
2015,Pune,Little Millet,50422.82,61152.17,-10729.35,-17.55,0.8245,7.08,9.39,3725.85,3.47,2.75,4428.72,0
2015,Pune,Proso Millet,216059.42,197715.98,18343.44,9.28,1.0928,0.79,11.96,3659.26,-9.49,0.82,21011.25,1
2015,Nashik,Pearl Millet,150600.1,135212.92,15387.17,11.38,1.1138,-4.44,3.41,4321.09,3.71,21.6,31160.23,1
2015,Nashik,Finger Millet,125237.47,128239.24,-3001.77,-2.34,0.9766,-7.99,0.74,2789.66,0.3,12.91,23784.42,0
2015,Nashik,Sorghum,160539.95,137558.77,22981.18,16.71,1.1671,5.25,13.02,3888.07,-14.06,-7.03,26257.15,2
2015,Nashik,Foxtail Millet,208235.21,191075.41,17159.8,8.98,1.0898,14.92,10.02,3518.39,-12.14,-3.03,2196.84,1
2015,Nashik,Kodo Millet,111210.64,109828.08,1382.55,1.26,1.0126,15.79,-3.54,2743.32,2.04,-3.19,35121.36,0
2015,Nashik,Barnyard Millet,173594.29,151372.87,22221.42,14.68,1.1468,10.37,-4.89,3752.89,6.95,-6.27,21832.16,1
2015,Nashik,Little Millet,93971.67,115489.59,-21517.92,-18.63,0.8137,6.5,-4.0,2247.59,9.69,5.98,40269.41,0
2015,Nashik,Proso Millet,216894.43,269805.01,-52910.58,-19.61,0.8039,8.67,14.0,4174.28,1.44,15.17,25734.13,0
2015,Aurangabad,Pearl Millet,257642.29,263809.21,-6166.92,-2.34,0.9766,17.12,9.87,2924.02,-10.93,-1.35,32245.41,0
2015,Aurangabad,Finger Millet,241453.42,244024.88,-2571.46,-1.05,0.9895,9.55,0.49,1732.45,-10.0,-0.49,16665.77,0
2015,Aurangabad,Sorghum,185038.06,151580.78,33457.28,22.07,1.2207,-1.52,8.88,3619.26,-17.75,4.27,27587.95,2
2015,Aurangabad,Foxtail Millet,153943.56,131378.08,22565.48,17.18,1.1718,3.76,13.1,3252.24,4.34,19.99,38514.13,2
2015,Aurangabad,Kodo Millet,145095.26,109249.19,35846.07,32.81,1.3281,1.85,10.07,4060.34,13.37,4.67,37628.27,2
2015,Aurangabad,Barnyard Millet,186533.08,196163.09,-9630.01,-4.91,0.9509,-1.82,-0.61,2807.51,-18.98,1.76,34277.95,0
2015,Aurangabad,Little Millet,151079.17,125776.79,25302.38,20.12,1.2012,5.09,-2.45,3366.77,-19.06,3.79,28655.21,2
2015,Aurangabad,Proso Millet,56775.51,60827.85,-4052.34,-6.66,0.9334,-4.2,4.23,1650.85,-6.73,-2.59,17015.44,0
2015,Solapur,Pearl Millet,240307.43,225783.99,14523.43,6.43,1.0643,13.06,11.64,2256.81,-17.13,-9.32,27431.53,1
2015,Solapur,Finger Millet,299976.96,277472.74,22504.22,8.11,1.0811,10.2,10.62,3455.26,6.4,23.24,10768.67,1
2015,Solapur,Sorghum,55095.0,45519.01,9576.0,21.04,1.2104,-4.47,8.39,3191.91,-12.37,14.48,38578.01,2
2015,Solapur,Foxtail Millet,91947.29,96877.84,-4930.56,-5.09,0.9491,12.94,-2.71,3957.9,13.77,-6.22,2258.24,0
2015,Solapur,Kodo Millet,127989.31,139338.59,-11349.28,-8.15,0.9185,18.83,2.93,3645.04,-17.34,14.17,31734.88,0
2015,Solapur,Barnyard Millet,75475.33,85758.12,-10282.79,-11.99,0.8801,15.81,7.01,1863.17,14.43,17.39,18012.98,0
2015,Solapur,Little Millet,157094.5,146928.2,10166.3,6.92,1.0692,6.17,1.82,4048.73,8.78,-6.31,48078.59,1
2015,Solapur,Proso Millet,208896.28,243229.14,-34332.87,-14.12,0.8588,11.8,3.71,3701.39,13.79,-0.55,40601.76,0
2015,Ahmednagar,Pearl Millet,184543.23,183020.51,1522.71,0.83,1.0083,4.2,9.62,2305.19,9.81,19.08,5246.48,0
2015,Ahmednagar,Finger Millet,270407.8,235777.13,34630.66,14.69,1.1469,5.01,7.21,2636.97,-19.0,19.78,9910.15,1
2015,Ahmednagar,Sorghum,103029.96,118372.79,-15342.83,-12.96,0.8704,1.53,12.61,3603.55,-10.33,-9.64,47455.07,0
2015,Ahmednagar,Foxtail Millet,71403.24,79260.26,-7857.02,-9.91,0.9009,5.68,10.16,3571.83,2.61,7.18,39853.71,0
2015,Ahmednagar,Kodo Millet,73263.34,63064.95,10198.39,16.17,1.1617,11.37,1.12,3244.67,-3.44,8.58,21849.69,2
2015,Ahmednagar,Barnyard Millet,236483.86,216476.3,20007.56,9.24,1.0924,11.68,0.42,2254.21,-15.78,-3.26,6858.18,1
2015,Ahmednagar,Little Millet,183965.99,208082.98,-24116.99,-11.59,0.8841,-2.82,-0.67,2952.6,5.36,24.18,26707.21,0
2015,Ahmednagar,Proso Millet,120749.68,96631.5,24118.17,24.96,1.2496,-2.56,-0.45,2038.32,-19.5,8.69,14441.26,2
2015,Bidar,Pearl Millet,293573.73,301406.13,-7832.4,-2.6,0.974,11.53,-2.47,4105.38,-2.82,20.55,29129.15,0
2015,Bidar,Finger Millet,167349.24,162367.99,4981.25,3.07,1.0307,-2.84,-3.97,4323.19,-3.28,18.77,20634.66,0
2015,Bidar,Sorghum,68520.54,72955.39,-4434.85,-6.08,0.9392,-6.5,-2.02,3188.52,-9.37,24.79,6804.13,0
2015,Bidar,Foxtail Millet,241110.86,253928.03,-12817.17,-5.05,0.9495,14.14,-0.49,3067.72,-4.23,5.5,43148.17,0
2015,Bidar,Kodo Millet,297507.82,268557.37,28950.45,10.78,1.1078,9.39,7.19,3720.27,13.17,-2.73,11340.23,1
2015,Bidar,Barnyard Millet,215107.03,178222.32,36884.72,20.7,1.207,-3.13,-3.5,1508.03,-4.23,10.78,15271.71,2
2015,Bidar,Little Millet,107869.06,119031.12,-11162.07,-9.38,0.9062,11.68,4.08,3562.15,12.34,17.57,31627.84,0
2015,Bidar,Proso Millet,215295.76,261979.25,-46683.49,-17.82,0.8218,3.9,5.89,3442.9,11.79,18.93,4499.08,0
2015,Kalaburagi,Pearl Millet,91480.7,82680.79,8799.9,10.64,1.1064,12.97,6.38,2365.83,-15.65,14.1,35286.95,1
2015,Kalaburagi,Finger Millet,285669.06,285736.5,-67.44,-0.02,0.9998,5.83,-3.39,1619.58,-4.88,1.28,13268.03,0
2015,Kalaburagi,Sorghum,72831.72,89652.61,-16820.89,-18.76,0.8124,15.41,6.5,4352.36,14.99,13.53,14206.04,0
2015,Kalaburagi,Foxtail Millet,60057.92,67753.4,-7695.49,-11.36,0.8864,5.17,8.03,4248.22,-13.65,10.49,32104.45,0
2015,Kalaburagi,Kodo Millet,172931.45,137587.93,35343.52,25.69,1.2569,1.74,1.67,3510.4,10.02,1.54,34990.01,2
2015,Kalaburagi,Barnyard Millet,122054.45,149223.37,-27168.93,-18.21,0.8179,14.78,6.0,2864.48,-8.99,1.31,48539.05,0
2015,Kalaburagi,Little Millet,151043.76,152146.1,-1102.34,-0.72,0.9928,19.67,8.15,3127.78,-5.54,-3.43,18727.19,0
2015,Kalaburagi,Proso Millet,239110.79,254104.08,-14993.29,-5.9,0.941,13.28,-0.93,3147.66,12.47,5.33,35214.25,0
2015,Raichur,Pearl Millet,80356.52,99366.74,-19010.22,-19.13,0.8087,9.05,-0.21,1975.13,-0.72,9.33,5567.25,0
2015,Raichur,Finger Millet,298064.28,359604.11,-61539.82,-17.11,0.8289,4.92,-2.65,3996.43,-2.56,15.08,25934.73,0
2015,Raichur,Sorghum,118356.22,138164.56,-19808.33,-14.34,0.8566,19.45,-0.13,3153.8,-6.57,22.27,25903.8,0
2015,Raichur,Foxtail Millet,269831.56,318944.54,-49112.98,-15.4,0.846,-0.27,10.8,2744.83,12.7,7.77,41206.92,0
2015,Raichur,Kodo Millet,120709.75,108551.61,12158.14,11.2,1.112,8.43,14.98,2968.92,-14.8,8.85,17911.07,1
2015,Raichur,Barnyard Millet,187979.35,192061.33,-4081.98,-2.13,0.9787,4.75,1.44,2065.96,4.41,10.01,12444.56,0
2015,Raichur,Little Millet,243886.12,188237.07,55649.04,29.56,1.2956,12.85,9.1,3934.23,-6.49,13.23,41216.63,2
2015,Raichur,Proso Millet,295204.53,294515.03,689.5,0.23,1.0023,-6.96,5.05,3270.54,10.44,20.6,22575.0,0
2015,Vijayapura,Pearl Millet,181487.77,177579.26,3908.51,2.2,1.022,12.23,3.2,3464.34,-14.6,6.43,48490.98,0
2015,Vijayapura,Finger Millet,134640.31,147613.21,-12972.9,-8.79,0.9121,10.2,12.04,4057.02,10.08,3.3,16516.4,0
2015,Vijayapura,Sorghum,229679.36,259468.98,-29789.62,-11.48,0.8852,16.43,-4.28,1705.26,2.09,22.23,49873.87,0
2015,Vijayapura,Foxtail Millet,236691.59,228877.39,7814.2,3.41,1.0341,-5.24,7.67,4117.74,-4.47,14.29,45267.78,0
2015,Vijayapura,Kodo Millet,61497.74,70603.82,-9106.08,-12.9,0.871,0.21,2.5,1936.71,-1.41,9.81,39833.45,0
2015,Vijayapura,Barnyard Millet,92495.91,73024.06,19471.85,26.66,1.2666,16.38,7.39,2222.49,11.95,-4.99,23596.35,2
2015,Vijayapura,Little Millet,113494.33,99609.82,13884.52,13.94,1.1394,-7.74,11.09,4203.63,3.72,-4.47,22644.76,1
2015,Vijayapura,Proso Millet,136391.41,142363.42,-5972.01,-4.19,0.9581,9.89,3.49,2250.29,9.59,-3.03,19849.97,0
2015,Dharwad,Pearl Millet,170802.02,148359.12,22442.9,15.13,1.1513,8.01,6.5,4478.08,-9.67,24.23,33253.26,2
2015,Dharwad,Finger Millet,118620.1,122530.35,-3910.25,-3.19,0.9681,11.2,9.89,1647.13,1.22,7.39,45303.61,0
2015,Dharwad,Sorghum,121548.54,139711.54,-18163.01,-13.0,0.87,9.0,2.05,3409.85,1.73,13.72,36325.49,0
2015,Dharwad,Foxtail Millet,214795.39,251132.01,-36336.63,-14.47,0.8553,9.59,13.07,3439.02,-9.19,5.43,29399.12,0
2015,Dharwad,Kodo Millet,233089.94,185322.05,47767.89,25.78,1.2578,0.26,9.95,2026.92,-15.37,8.88,48602.99,2
2015,Dharwad,Barnyard Millet,182713.09,220487.84,-37774.74,-17.13,0.8287,15.25,0.14,3974.07,-3.14,18.23,37581.41,0
2015,Dharwad,Little Millet,134678.81,108764.57,25914.24,23.83,1.2383,18.96,-2.18,4399.5,10.1,15.35,49017.17,2
2015,Dharwad,Proso Millet,291817.44,336259.43,-44441.99,-13.22,0.8678,2.24,10.81,1541.76,-1.22,5.92,33968.59,0
2015,Anantapur,Pearl Millet,218085.2,227305.85,-9220.65,-4.06,0.9594,15.03,13.81,1825.04,-11.82,-9.12,44327.51,0
2015,Anantapur,Finger Millet,190351.85,229874.21,-39522.36,-17.19,0.8281,-1.8,-3.74,3971.57,11.83,0.58,21006.5,0
2015,Anantapur,Sorghum,84944.25,103897.93,-18953.68,-18.24,0.8176,0.52,4.85,1791.58,11.05,-5.25,23228.54,0
2015,Anantapur,Foxtail Millet,217621.55,244077.82,-26456.27,-10.84,0.8916,18.49,3.38,3726.81,-14.59,4.52,5852.06,0
2015,Anantapur,Kodo Millet,172336.76,164419.25,7917.51,4.82,1.0482,18.64,-4.35,2611.59,-4.48,23.27,42917.06,0
2015,Anantapur,Barnyard Millet,74838.66,81786.69,-6948.03,-8.5,0.915,7.25,14.56,2576.02,-6.07,-3.36,6985.83,0
2015,Anantapur,Little Millet,262008.3,256076.08,5932.21,2.32,1.0232,10.56,7.83,3291.44,-19.25,17.54,12934.88,0
2015,Anantapur,Proso Millet,81480.97,84111.91,-2630.94,-3.13,0.9687,-6.08,10.3,2121.47,-12.44,20.44,17099.42,0
2015,Kurnool,Pearl Millet,86888.54,104289.32,-17400.78,-16.69,0.8331,-7.92,12.17,1934.06,-15.45,-1.23,9550.36,0
2015,Kurnool,Finger Millet,215264.41,164223.08,51041.33,31.08,1.3108,-7.58,10.8,2213.79,-8.67,-3.9,3567.55,2
2015,Kurnool,Sorghum,235429.51,238500.17,-3070.65,-1.29,0.9871,12.88,4.52,3834.05,-2.04,-6.18,25688.1,0
2015,Kurnool,Foxtail Millet,286353.91,220974.31,65379.6,29.59,1.2959,13.93,12.34,3064.35,-3.97,23.74,3980.44,2
2015,Kurnool,Kodo Millet,169745.48,161395.46,8350.01,5.17,1.0517,11.21,4.81,4229.1,-17.43,-7.17,30806.57,1
2015,Kurnool,Barnyard Millet,66420.56,58948.78,7471.78,12.68,1.1268,9.73,5.97,2475.56,14.81,8.57,23232.06,1
2015,Kurnool,Little Millet,201356.7,161002.65,40354.05,25.06,1.2506,11.65,12.06,3452.75,6.91,15.23,11536.13,2
2015,Kurnool,Proso Millet,162888.73,140776.06,22112.67,15.71,1.1571,1.49,4.07,2747.97,-16.67,4.94,33590.29,2
2015,Kadapa,Pearl Millet,143575.26,118639.03,24936.23,21.02,1.2102,17.84,-3.66,3995.32,-16.74,-6.62,37201.0,2
2015,Kadapa,Finger Millet,252942.32,260071.59,-7129.27,-2.74,0.9726,8.42,6.23,2488.94,-15.72,2.38,33601.69,0
2015,Kadapa,Sorghum,237571.06,281295.08,-43724.02,-15.54,0.8446,12.19,14.37,3301.23,-7.69,10.23,11424.2,0
2015,Kadapa,Foxtail Millet,214184.08,184652.9,29531.18,15.99,1.1599,-4.97,11.91,2602.68,6.69,10.09,40553.85,2
2015,Kadapa,Kodo Millet,261288.79,323285.64,-61996.85,-19.18,0.8082,14.92,7.27,3428.1,-19.08,22.52,41643.58,0
2015,Kadapa,Barnyard Millet,116861.93,98188.33,18673.6,19.02,1.1902,11.68,1.18,2519.47,-19.79,20.45,28749.73,2
2015,Kadapa,Little Millet,150196.09,123301.57,26894.51,21.81,1.2181,9.73,-4.39,3738.34,-12.47,4.69,17703.9,2
2015,Kadapa,Proso Millet,142513.27,158303.46,-15790.18,-9.97,0.9003,13.75,6.35,1754.87,-18.16,-4.49,31274.07,0
2015,Prakasam,Pearl Millet,218492.18,193595.3,24896.87,12.86,1.1286,10.53,4.71,2826.13,-10.44,16.42,6577.06,1
2015,Prakasam,Finger Millet,157478.41,140411.41,17067.0,12.15,1.1215,11.0,4.73,3501.4,-18.41,3.83,30366.92,1
2015,Prakasam,Sorghum,51921.77,46766.44,5155.33,11.02,1.1102,-2.09,-2.26,2266.56,-8.52,-9.73,37603.69,1
2015,Prakasam,Foxtail Millet,93923.7,88298.02,5625.68,6.37,1.0637,11.7,5.01,4000.06,8.22,-7.48,43226.45,1
2015,Prakasam,Kodo Millet,60575.57,45999.31,14576.25,31.69,1.3169,17.79,12.24,3227.28,0.07,14.83,21467.0,2
2015,Prakasam,Barnyard Millet,78793.34,59916.69,18876.66,31.5,1.315,1.09,11.03,3354.38,9.12,22.19,5318.36,2
2015,Prakasam,Little Millet,261121.09,227608.35,33512.74,14.72,1.1472,8.49,5.48,2687.3,-9.14,1.88,17320.36,1
2015,Prakasam,Proso Millet,92033.18,92515.58,-482.4,-0.52,0.9948,-4.81,5.2,4217.77,-7.77,15.46,41128.48,0
2015,Guntur,Pearl Millet,253759.25,220297.14,33462.11,15.19,1.1519,-3.9,-1.05,3307.2,6.61,12.94,9680.16,2
2015,Guntur,Finger Millet,243212.02,242496.62,715.41,0.3,1.003,13.12,10.2,2846.72,12.35,9.76,32129.62,0
2015,Guntur,Sorghum,206130.44,243671.63,-37541.19,-15.41,0.8459,9.56,-1.98,1704.86,-4.52,0.6,14459.01,0
2015,Guntur,Foxtail Millet,64043.03,64277.97,-234.94,-0.37,0.9963,0.69,4.04,1670.67,9.11,-7.31,43348.25,0
2015,Guntur,Kodo Millet,263823.34,278994.29,-15170.95,-5.44,0.9456,6.2,4.25,3162.95,7.71,21.36,23036.95,0
2015,Guntur,Barnyard Millet,252453.98,271619.96,-19165.98,-7.06,0.9294,1.0,4.51,1952.58,-17.83,-6.38,45057.21,0
2015,Guntur,Little Millet,135859.44,150417.84,-14558.4,-9.68,0.9032,6.13,-1.55,2243.23,-4.68,5.38,26614.65,0
2015,Guntur,Proso Millet,89686.55,83984.82,5701.73,6.79,1.0679,-0.08,3.18,2515.1,0.93,17.62,32717.96,1
2015,Nizamabad,Pearl Millet,66477.96,52999.75,13478.21,25.43,1.2543,10.99,0.68,3671.2,2.98,21.72,43790.7,2
2015,Nizamabad,Finger Millet,133340.51,138856.77,-5516.26,-3.97,0.9603,-4.04,2.0,4403.09,4.45,3.72,30157.02,0
2015,Nizamabad,Sorghum,284500.55,257413.52,27087.03,10.52,1.1052,2.55,10.83,3939.55,3.45,19.01,37199.96,1
2015,Nizamabad,Foxtail Millet,221353.61,224274.74,-2921.13,-1.3,0.987,10.09,3.47,2585.48,-7.31,-3.69,11495.44,0
2015,Nizamabad,Kodo Millet,286917.07,284947.51,1969.55,0.69,1.0069,-1.66,-2.25,1731.5,9.55,-6.46,38772.86,0
2015,Nizamabad,Barnyard Millet,258779.96,308424.58,-49644.63,-16.1,0.839,-6.94,1.74,3798.92,-15.41,3.19,8950.11,0
2015,Nizamabad,Little Millet,257836.26,292785.69,-34949.42,-11.94,0.8806,14.65,-1.69,2813.02,-5.62,13.67,12638.98,0
2015,Nizamabad,Proso Millet,161049.68,143731.03,17318.64,12.05,1.1205,12.96,3.98,3102.03,-9.17,18.3,23981.76,1
2015,Adilabad,Pearl Millet,258778.35,241678.4,17099.95,7.08,1.0708,18.52,14.69,2885.04,-10.14,3.37,26845.53,1
2015,Adilabad,Finger Millet,291567.04,337764.56,-46197.52,-13.68,0.8632,14.44,-2.23,2250.01,2.44,20.59,28172.5,0
2015,Adilabad,Sorghum,75647.43,88730.36,-13082.93,-14.74,0.8526,15.83,0.7,3789.35,-10.45,21.69,8220.08,0
2015,Adilabad,Foxtail Millet,159368.14,194940.17,-35572.03,-18.25,0.8175,-1.78,4.02,2548.76,-19.07,-8.14,25598.35,0
2015,Adilabad,Kodo Millet,108944.52,135882.43,-26937.91,-19.82,0.8018,2.5,-4.44,4292.48,9.37,12.75,39777.65,0
2015,Adilabad,Barnyard Millet,84399.9,75406.22,8993.68,11.93,1.1193,15.23,8.92,1916.38,4.69,5.7,1257.31,1
2015,Adilabad,Little Millet,69806.44,61287.4,8519.04,13.9,1.139,15.38,5.98,3681.7,-1.53,-6.11,15116.98,1
2015,Adilabad,Proso Millet,125287.8,96957.06,28330.74,29.22,1.2922,3.76,10.88,2871.34,-16.12,21.68,30240.21,2
2015,Karimnagar,Pearl Millet,54108.84,54524.82,-415.98,-0.76,0.9924,-1.23,-2.13,2787.72,1.52,-1.58,21411.81,0
2015,Karimnagar,Finger Millet,216092.83,171319.9,44772.93,26.13,1.2613,19.29,-3.65,3078.18,-2.24,24.59,28153.45,2
2015,Karimnagar,Sorghum,147613.43,145409.2,2204.23,1.52,1.0152,9.8,14.62,2260.95,-19.43,17.6,17895.32,0
2015,Karimnagar,Foxtail Millet,233235.26,248192.28,-14957.02,-6.03,0.9397,13.6,9.7,2497.56,-18.45,9.11,40861.93,0
2015,Karimnagar,Kodo Millet,93772.28,106860.2,-13087.92,-12.25,0.8775,5.01,8.91,3395.21,8.4,-7.79,39033.33,0
2015,Karimnagar,Barnyard Millet,164419.89,147438.82,16981.08,11.52,1.1152,-6.77,-1.01,1625.72,12.67,8.04,49467.01,1
2015,Karimnagar,Little Millet,185757.67,162845.74,22911.93,14.07,1.1407,13.09,-1.18,2570.92,7.33,20.3,17264.31,1
2015,Karimnagar,Proso Millet,81118.75,75765.69,5353.06,7.07,1.0707,16.91,9.87,4183.91,-6.47,24.08,25313.96,1
2015,Warangal,Pearl Millet,174380.85,211376.66,-36995.81,-17.5,0.825,6.54,11.02,3681.24,-17.24,11.09,41294.72,0
2015,Warangal,Finger Millet,186368.6,169708.31,16660.29,9.82,1.0982,-5.76,8.22,2419.49,1.09,4.91,34798.48,1
2015,Warangal,Sorghum,137886.75,106335.17,31551.58,29.67,1.2967,16.36,2.05,4494.45,-10.39,24.3,47447.31,2
2015,Warangal,Foxtail Millet,68760.29,73487.99,-4727.7,-6.43,0.9357,2.17,11.02,3538.23,13.35,-5.0,30771.07,0
2015,Warangal,Kodo Millet,245327.99,188264.57,57063.42,30.31,1.3031,-6.12,10.57,2598.99,-6.6,9.85,30649.65,2
2015,Warangal,Barnyard Millet,219765.51,269083.48,-49317.97,-18.33,0.8167,2.42,10.26,3221.77,-1.47,3.93,32828.48,0
2015,Warangal,Little Millet,112402.91,90678.16,21724.75,23.96,1.2396,12.6,4.98,2660.96,-0.34,-0.84,13754.2,2
2015,Warangal,Proso Millet,161568.28,201666.71,-40098.43,-19.88,0.8012,-0.0,13.33,2973.6,-15.71,19.85,23150.09,0
